Year,Month,Three_Component_Index,News_Based_Policy_Uncert_Index
1992,9,127.0196228,141.4432373
1992,10,138.5217896,161.2542267
1992,11,118.7768631,108.1500702
1992,12,106.8679123,87.8720932
1993,1,102.5303268,83.46498108
1993,2,119.962532,106.97612
1993,3,121.557869,109.796814
1993,4,109.2568359,89.65112305
1993,5,133.5896606,133.5057526
1993,6,126.0487671,120.6800613
1993,7,117.5845108,106.5029907
1993,8,106.0323639,115.5761719
1993,9,106.2746887,116.027298
1993,10,84.48769379,78.8225174
1993,11,84.55661011,89.25749969
1993,12,77.52033234,77.27201843
1994,1,80.00980377,82.2928009
1994,2,94.59269714,96.14565277
1994,3,87.00631714,83.22688293
1994,4,100.4163666,106.3544464
1994,5,96.5273056,94.50388336
1994,6,92.37978363,87.46889496
1994,7,85.37094879,75.43205261
1994,8,92.82605743,88.99729919
1994,9,90.63002777,85.29350281
1994,10,76.49900055,61.68622589
1994,11,91.77528381,94.68727875
1994,12,91.7950058,94.76318359
1995,1,107.9549408,122.4063721
1995,2,86.32306671,100.5155563
1995,3,78.09661865,86.48616791
1995,4,65.99178314,65.99556732
1995,5,74.70236206,67.301651
1995,6,79.6735611,75.82338715
1995,7,83.0381012,81.65293884
1995,8,66.76376343,55.88801193
1995,9,75.22517395,70.38091278
1995,10,80.62604523,79.90551758
1995,11,90.53282166,101.200119
1995,12,84.347229,90.67060089
1996,1,90.66317749,101.5782242
1996,2,75.83462524,82.02139282
1996,3,72.6524353,76.63046265
1996,4,69.19065094,70.88105774
1996,5,69.42778778,62.10961151
1996,6,81.17970276,82.24293518
1996,7,73.61083221,69.69367218
1996,8,83.65825653,88.64742279
1996,9,77.97563171,78.9807663
1996,10,64.19595337,55.67024612
1996,11,74.20866394,74.37119293
1996,12,69.97416687,67.17334747
1997,1,74.9683075,75.44551086
1997,2,87.69728851,92.08613586
1997,3,75.01231384,70.45269012
1997,4,75.4542923,71.10443115
1997,5,73.45812988,75.86949921
1997,6,78.48297882,84.47803497
1997,7,73.89486694,76.70619965
1997,8,63.8098793,58.91501999
1997,9,61.15956116,54.41430283
1997,10,83.65215302,92.9295578
1997,11,78.39389038,85.98280334
1997,12,88.74448395,103.6995239
1998,1,91.04062653,107.9537582
1998,2,88.81943512,101.1494675
1998,3,78.38832092,83.3476181
1998,4,73.20014191,74.45728302
1998,5,75.85511017,80.12715149
1998,6,76.28634644,80.88773346
1998,7,88.17700958,101.4185181
1998,8,101.4080811,130.467041
1998,9,123.9614716,169.0372772
1998,10,109.8813477,145.0232391
1998,11,92.94631958,113.5047455
1998,12,91.40618134,110.8949814
1999,1,98.64504242,123.3228455
1999,2,82.3835907,94.99628448
1999,3,66.00053406,67.02757263
1999,4,67.53295135,69.7878952
1999,5,67.08853149,64.77645874
1999,6,73.01111603,74.92562866
1999,7,79.81311798,86.52993774
1999,8,69.55317688,77.02532959
1999,9,69.81623077,77.49834442
1999,10,62.71154785,65.33708191
1999,11,82.06382751,76.31718445
1999,12,83.80947113,79.32242584
2000,1,89.20153809,88.98869324
2000,2,77.60139465,73.36519623
2000,3,77.54830933,73.29862213
2000,4,76.05922699,70.5997467
2000,5,97.98620605,118.1432114
2000,6,92.96501923,109.5842285
2000,7,79.44697571,86.65835571
2000,8,66.58133698,58.90645981
2000,9,75.14165497,73.55099487
2000,10,84.66172791,89.91345215
2000,11,125.067543,166.1840515
2000,12,115.2687225,149.4485168
2001,1,111.4160385,142.6141205
2001,2,110.9178467,128.6256409
2001,3,116.026947,137.374176
2001,4,122.6734085,148.7580109
2001,5,100.4290161,117.4362564
2001,6,86.39027405,93.46123505
2001,7,102.1318512,120.2945938
2001,8,84.28912354,95.39997101
2001,9,188.059494,272.7644958
2001,10,173.1433716,247.294281
2001,11,130.5756378,172.4888306
2001,12,117.2365875,149.7089386
2002,1,116.8374557,148.4497375
2002,2,87.60068512,104.609436
2002,3,83.44042969,97.51299286
2002,4,88.56610107,106.16465
2002,5,86.29885864,98.64002991
2002,6,93.61022186,111.1499481
2002,7,110.3051682,139.6611328
2002,8,116.0148239,136.1190643
2002,9,124.0431442,149.8481903
2002,10,111.8859711,128.9736176
2002,11,123.2843781,162.221405
2002,12,122.2216721,160.4113312
2003,1,138.9533997,185.5916138
2003,2,126.7277374,161.7597656
2003,3,163.5238037,224.6472015
2003,4,135.6275482,176.5798492
2003,5,102.6198196,122.3098221
2003,6,95.82730103,110.695549
2003,7,91.74150848,103.7482452
2003,8,95.67181396,91.71417236
2003,9,106.1157608,109.5539551
2003,10,88.0437851,78.58598328
2003,11,84.91823578,78.6960907
2003,12,91.73699188,90.34359741
2004,1,96.56645966,88.27758789
2004,2,99.45729828,88.90148163
2004,3,96.78946686,84.3309021
2004,4,94.11528015,79.72691345
2004,5,92.32118225,97.2080307
2004,6,85.34597778,85.27448273
2004,7,87.54418945,88.95649719
2004,8,85.92586517,84.44986725
2004,9,100.0118866,108.5095825
2004,10,105.6951141,118.3414459
2004,11,95.24085236,96.69577026
2004,12,77.59643555,66.53287506
2005,1,73.91847992,66.73433685
2005,2,58.95005035,51.69568634
2005,3,57.5579567,49.30863571
2005,4,74.56597137,78.39586639
2005,5,70.50811768,75.09077454
2005,6,74.56132507,82.00558472
2005,7,68.71644592,71.93954468
2005,8,64.39585876,59.61723328
2005,9,91.40605927,105.7698593
2005,10,76.16368103,79.8299942
2005,11,72.21598816,60.06785202
2005,12,78.04892731,70.02675629
2006,1,79.17534637,75.07923889
2006,2,72.69299316,69.491745
2006,3,64.22933197,55.00807571
2006,4,79.76152802,81.65171814
2006,5,70.83625793,67.80979156
2006,6,79.49433136,82.58628082
2006,7,80.56230927,84.47445679
2006,8,72.76996613,71.51509857
2006,9,67.0675354,61.75134659
2006,10,63.46446609,55.62950897
2006,11,62.51984406,49.59912872
2006,12,63.3704071,51.03903961
2007,1,79.01966858,74.51002502
2007,2,57.20262146,50.86001968
2007,3,69.88729095,72.52986145
2007,4,62.50170135,59.8413887
2007,5,74.68186951,71.13732147
2007,6,73.29653931,68.7592392
2007,7,59.32397842,44.78275299
2007,8,89.10404968,90.0072937
2007,9,100.7443771,109.8926544
2007,10,89.45452881,90.64006805
2007,11,102.4411087,106.5661621
2007,12,108.5438004,116.9908981
2008,1,144.984726,177.0422058
2008,2,108.1046906,108.3147354
2008,3,111.7123566,114.4745712
2008,4,102.196907,98.19770813
2008,5,94.28403473,88.6734314
2008,6,94.55675507,89.13687897
2008,7,109.7889709,115.1027222
2008,8,95.87075806,81.16308594
2008,9,187.7403107,238.171875
2008,10,189.9172821,241.7722778
